"Bevolking; geslacht, leeftijd en burgerlijke staat, 1 januari",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burgerlijke staat: Totaal burgerlijke staat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geslacht: Totaal mannen en vrouwen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onderwerp: |Bevolking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Perioden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age_group,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,12%,12%,11%,11%,11%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,9%,9%,9%,9%,9%,8%,8%,7%,7%,7%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,5%,5%,5%,5%,5%,5%,5%,5%,5%
 ,9%,9%,10%,11%,11%,11%,11%,11%,10%,10%,10%,10%,10%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,8%,8%,8%,7%,7%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,5%,5%,5%,5%,5%
10,8%,8%,8%,8%,8%,9%,9%,9%,10%,10%,10%,10%,10%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,8%,8%,8%,8%,7%,7%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,5%
 ,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,9%,9%,9%,10%,10%,9%,9%,9%,9%,8%,8%,8%,8%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,8%,8%,8%,8%,7%,7%,7%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
20,8%,8%,8%,8%,8%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,8%,9%,9%,9%,9%,9%,8%,8%,8%,8%,8%,8%,8%,8%,9%,9%,9%,9%,9%,9%,9%,9%,9%,8%,8%,8%,8%,8%,7%,7%,7%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
 ,8%,8%,8%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,6%,6%,7%,7%,7%,7%,7%,7%,7%,8%,8%,9%,9%,9%,9%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,9%,9%,9%,9%,9%,9%,8%,8%,8%,8%,8%,8%,7%,7%,7%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,7%
30,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,7%,7%,7%,7%,8%,8%,8%,9%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,9%,9%,8%,8%,8%,8%,8%,8%,8%,8%,7%,7%,7%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
 ,7%,7%,7%,7%,6%,6%,6%,6%,7%,7%,7%,7%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,7%,7%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,7%,7%,6%,6%,6%,6%,6%,6%,6%,6%,6%
40,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,7%,7%,8%,8%,8%,8%,8%,7%,7%,7%,7%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,7%,7%,7%,6%,6%,6%,6%
 ,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,5%,5%,5%,6%,6%,6%,6%,6%,6%,6%,5%,5%,5%,5%,6%,5%,5%,5%,5%,5%,5%,5%,6%,6%,6%,6%,6%,6%,7%,7%,7%,8%,8%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,7%,7%,7%
50,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,6%,6%,6%,6%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,8%,8%,8%,7%,7%,7%
 ,4%,4%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,6%,6%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
60,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,5%,5%,5%,5%,5%,5%,4%,5%,5%,5%,5%,5%,4%,4%,4%,5%,5%,5%,5%,5%,5%,5%,5%,6%,6%,6%,6%,7%,6%,6%,6%,6%,6%,6%,6%,6%,6%
 ,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,5%,5%,5%,5%,6%,6%,6%,6%,6%,6%,6%,6%
70,2%,2%,2%,2%,2%,2%,2%,2%,2%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,4%,4%,4%,4%,4%,3%,3%,3%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,5%,5%,5%,5%
 ,1%,1%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,3%,3%,3%,3%,3%,3%,2%,2%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,4%,4%
80,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,3%
 ,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
90,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,1%,1%,1%,1%,1%,1%
Age >95,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
